文件,作物,因变量,R-squared,MAE,MSE,RMSE,样本数
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,citrus,NPK,0.141,0.047,0.003,0.055,72
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,citrus,PK,0.121,0.061,0.006,0.077,72
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,citrus,NK,0.14,0.009,0.0,0.0,72
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,citrus,CK,0.167,0.03,0.001,0.032,72
Water_sample_runoff_citrus_Dissolved_Phosphorus.csv,citrus,OF,0.228,0.039,0.002,0.045,72
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,corn,NPK,0.228,0.032,0.001,0.032,69
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,corn,PK,0.187,0.035,0.002,0.045,69
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,corn,NK,0.247,0.006,0.0,0.0,69
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,corn,CK,0.347,0.008,0.0,0.0,69
Water_sample_runoff_corn_Dissolved_Phosphorus.csv,corn,OF,0.188,0.019,0.001,0.032,69
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,rice,NPK,0.244,0.021,0.001,0.032,70
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,rice,PK,0.224,0.028,0.001,0.032,70
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,rice,NK,0.356,0.01,0.0,0.0,70
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,rice,CK,0.244,0.01,0.0,0.0,70
Water_sample_runoff_rice_Dissolved_Phosphorus.csv,rice,OF,0.184,0.016,0.0,0.0,70
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,vegetable,NPK,0.277,0.035,0.002,0.045,60
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,vegetable,PK,0.251,0.041,0.002,0.045,60
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,vegetable,NK,0.531,0.015,0.001,0.032,60
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,vegetable,CK,0.345,0.024,0.005,0.071,60
Water_sample_runoff_vegetable_Dissolved_Phosphorus.csv,vegetable,OF,0.304,0.026,0.001,0.032,60
